rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
24,Winnipeg,MB,CA,749607,winnipeg-mb,49.8844,-97.14704,6183235,PPLA
25,Denver,CO,US,729019,denver-co,39.73915,-104.9847,5419384,PPLA
26,Mississauga,ON,CA,717961,mississauga-on,43.5789,-79.6583,6075357,PPL
27,Washington,DC,US,689545,washington-dc,38.89511,-77.03637,4140963,PPLC
28,Nashville,TN,US,689447,nashville-tn,36.16589,-86.78444,4644585,PPLA
29,Oklahoma City,OK,US,681054,oklahoma-city-ok,35.46756,-97.51643,4544349,PPLA
30,El Paso,TX,US,678815,el-paso-tx,31.75872,-106.48693,5520993,PPLA2
31,Vancouver,BC,CA,662248,vancouver-bc,49.24966,-123.11934,6173331,PPL
32,Brampton,ON,CA,656480,brampton-on,43.68341,-79.76633,5907364,PPL
33,Boston,MA,US,653833,boston-ma,42.35843,-71.05977,4930956,PPLA
34,Portland,OR,US,652503,portland-or,45.52345,-122.67621,5746545,PPLA2
35,Detroit,MI,US,645705,detroit-mi,42.33143,-83.04575,4990729,PPLA2
36,Las Vegas,NV,US,641903,las-vegas-nv,36.17497,-115.13722,5506956,PPLA2
37,Memphis,TN,US,633104,memphis-tn,35.14953,-90.04898,4641239,PPLA2
38,Louisville,KY,US,624444,louisville-ky,38.25424,-85.75941,4299276,PPLA2
39,Baltimore,MD,US,585708,baltimore-md,39.29038,-76.61219,4347778,PPLA2
40,Hamilton,ON,CA,569353,hamilton-on,43.25011,-79.84963,5969782,PPL
41,Surrey,BC,CA,568322,surrey-bc,49.10635,-122.82509,6159905,PPL
42,Albuquerque,NM,US,564559,albuquerque-nm,35.08449,-106.65114,5454711,PPLA2
43,Milwaukee,WI,US,563531,milwaukee-wi,43.0389,-87.90647,5263045,PPLA2
44,Tucson,AZ,US,542629,tucson-az,32.22174,-110.92648,5318313,PPLA2
45,Fresno,CA,US,542107,fresno-ca,36.74773,-119.77237,5350937,PPLA2
46,Québec,QC,CA,531902,quebec-qc,46.81228,-71.21454,6325494,PPLA
47,Sacramento,CA,US,524943,sacramento-ca,38.58157,-121.4944,5389489,PPLA
48,Atlanta,GA,US,510823,atlanta-ga,33.749,-84.38798,4180439,PPLA
49,Miami,FL,US,487014,miami-fl,25.77427,-80.19366,4164138,PPLA2
50,Omaha,NE,US,486051,omaha-ne,41.25626,-95.94043,5074472,PPLA2
51,Raleigh,NC,US,482295,raleigh-nc,35.7721,-78.63861,4487042,PPLA
52,Kansas City,MO,US,475378,kansas-city-mo,39.09973,-94.57857,4393217,PPL
53,Long Beach,CA,US,474140,long-beach-ca,33.76696,-118.18923,5367929,PPL
54,Mesa,AZ,US,471825,mesa-az,33.42227,-111.82264,5304391,PPL
55,Halifax,NS,CA,471559,halifax-ns,44.64269,-63.57688,6324729,PPLA
56,Colorado Springs,CO,US,456568,colorado-springs-co,38.83388,-104.82136,5417598,PPLA2
57,Virginia Beach,VA,US,454808,virginia-beach-va,36.85293,-75.97799,4791259,PPLA2
58,Laval,QC,CA,438366,laval-qc,45.56995,-73.692,6050610,PPL
59,London,ON,CA,422324,london-on,42.98339,-81.23304,6058560,PPL
60,Oakland,CA,US,419267,oakland-ca,37.80437,-122.2708,5378538,PPLA2
